year,Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
2000,1264019978.46365,134089999.48948622,1048580002.0284952,302819999.1434813,489799993.99557763,267580000.84012747,5949459960.84065,2687640014.2014008,48890000.14215708,2266500036.0310073,1898879962.1239302,164119998.95423642,247000001.54227066,1140699995.1489277,1769799974.2627141,866030007.5635319,3825219986.893236,590090010.1326406,1292649993.0098655,123050003.22684643,142010000.2363325,1781400002.3901455,723830012.5412633,440300003.6478052,801359988.9837207,4272149964.392186,289819994.6731334,1023130019.1767526,3445759945.0871353,3082670058.4962993,814260007.7651434
2001,1242169993.3558717,122530000.269413,1555169982.038438,323449998.2744457,731339988.6079146,226460001.29356977,5694220095.466829,3818769983.5300517,34380000.60245393,2494699926.6482897,1915600021.2430954,219900001.17570153,149739998.60137692,1381209970.7797165,1599949995.0036404,1140860007.4984148,4155579935.543239,667940011.5348394,1197430004.1161473,185610003.8997829,159000001.69873235,1622929994.571954,1303289989.5943708,634249989.867211,778319980.0066657,5302940060.157324,188460002.44468454,1712300006.6764653,3087799978.6585617,2123760038.6478004,728300000.3248444
2002,1759030003.6370764,166619998.51465213,1751830016.9594588,240329996.04940417,816370007.9545374,265239996.27307007,5635239938.784391,4590959982.961422,322250008.1397588,2645899954.948576,1626300019.372255,281670000.0427664,213399999.85694894,1305879992.1460447,1525099992.4466012,1480560021.7878814,9372749992.385517,1196399990.6219542,1405320012.241603,174090002.6410817,112340001.3446808,1735400023.400783,1474980011.1614168,653410002.1794436,1281919988.2783005,5222390068.426736,219410002.771765,987840000.9609766,2880270008.116958,2991969948.70901,871770007.941872
2003,2051469971.3587751,118789998.49781397,1984150010.6342134,194629998.43806028,868909992.236644,272990000.25913113,4106150033.0753603,6242520073.294648,-53459998.23883175,3425879992.6266127,1912470022.663474,296429999.35150105,426829988.80743957,1908289950.0504136,2000220027.9049578,976280017.4653537,4070959998.0861,1170570014.6295137,1335640005.2905085,139609998.2261658,147819999.57561505,1785439979.8102684,1266870019.6035194,735130003.3554435,2644230017.662048,6352000001.676395,220589999.1095067,1284600024.6107574,3731399965.584282,3164210002.7650585,789569991.8642633
2004,4767359934.419397,179369999.64341524,2293860015.623272,424520001.52692187,1181889991.104603,231960005.65215945,6167179849.3228855,6440020078.320065,155209998.14942476,5106279969.979082,2532509954.854847,310299995.15786797,880270012.9821888,4407270019.628108,1878360040.5417387,696400011.6735698,4570410005.249082,2076409980.5466845,1668589995.2910843,126989997.48378982,123510000.25868428,3991269977.2641063,1292470011.6142635,809429982.1555614,4125699958.562852,6334599945.276982,261739997.32732764,1361420014.6570816,4351779979.512101,4233769897.7068152,808250002.6747587
2005,1555179979.2200327,205050000.97677115,2428970016.2410727,341390007.2574617,1358249983.0462036,276049997.575581,4080680048.9686413,7051800087.202347,197990000.80302367,3919869996.927682,2942139993.7123075,240580003.2839178,896770002.5476526,3285029981.952161,2059630013.8570383,655599997.1888967,4706119978.044183,25892209863.640385,2008600003.3617015,162990000.53852808,119050002.09435835,2497979977.1830444,1174500002.8610227,941030003.7786361,7503429880.673062,5332119961.5672245,316019996.8107044,1516780003.6370761,4217349944.2897816,4474629998.929804,1279370014.4104652
2006,557560005.664826,275609999.5933473,3001129916.161295,450390004.21017444,1057629996.6499205,431630003.7764012,3549220025.7778187,6885890044.6072235,135889997.19917774,3988149946.8274403,3724520044.4459987,237529999.72552064,1039150013.7671824,2551209972.258657,2510969995.9643183,708440002.027899,5787179939.884694,46114259707.40431,2085600030.1167374,192179997.67512098,92829999.82684854,2970249976.0501127,1290429981.4775589,1567810012.7130742,8183240039.754662,6455920052.260162,303340002.9223412,1803700014.9860992,5643319954.022767,5654469985.350964,1107099992.2901392
2007,799829997.4761899,423129999.5742738,2828970007.9858303,666540002.4205456,1324749976.2848027,373180001.5866766,4551499973.900627,7867030146.1108,194380002.14844945,3492529978.2902007,4505610070.817174,404870001.96799576,1166929990.9807756,2539410028.453915,2332080004.8150115,997039975.8219721,5804369964.800777,6339709948.331127,2195020023.833961,135540002.17467552,163079996.5672195,2612310050.0367584,1954630019.7467215,1488960006.6915154,8368020082.339651,8828089928.802105,445669997.1854688,1311929999.500514,5096000010.110439,3514990000.1697283,1866269977.7279058
2008,1239279997.1252675,2944200020.22758,2893749989.435077,841919991.8881058,1808880016.736687,421289997.86451465,5954059954.728933,10329129929.045218,229529999.937862,3784469919.782128,4704900012.876848,434959990.460426,4363170045.532292,2112039978.0906749,2918009967.7704277,1195829995.676875,6480720002.356912,3474470006.2125907,2739649999.741466,154850003.24994326,137159999.74310392,3270920031.7189097,1098199990.361929,2990109974.8350687,9536689968.302856,6984579935.40913,988820002.8948498,1413070011.0830371,5531530136.499568,3840529925.122866,2473629956.755787
2009,819850011.0208995,1134090000.6256983,2990149981.502444,743290002.6589634,2108780015.7740726,529049997.2999106,3595850056.145342,9895929948.311302,279139997.14702374,4740280059.985823,6219460086.230188,404339998.42777765,1773930015.5155358,1416520017.262549,2488019975.4200873,1000600012.5966969,6706850054.644049,4006649997.2194424,2957420046.8882904,250749996.0958959,105440002.31474634,3103619997.110218,1450390004.8062203,2590269992.996007,9253540167.734024,7876599958.866837,1824290020.6893678,1898239963.7848136,5205599973.246453,4266810034.587986,2968820000.9055443
