Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
202.9,77.8,178.0,165.2,184.1,99.7,46.7,141.2,84.4,100.0,96.1,110.6,189.3,104.9,173.4,98.3,172.0,182.5,185.0,21.2,82.0,129.6,225.3,171.9,103.4,129.0,119.8,29.4,145.8,156.3,94.5
197.0,76.5,173.9,162.5,180.7,97.4,44.0,135.0,82.6,96.0,91.2,112.2,176.2,100.2,160.1,93.6,162.8,177.0,167.3,20.5,76.5,122.8,219.9,171.9,100.0,121.0,116.2,27.4,139.0,147.6,92.5
190.0,74.8,169.4,159.5,177.3,95.1,41.6,128.6,80.7,92.2,86.1,113.7,163.4,95.9,145.7,88.3,154.4,171.3,149.7,20.0,71.0,115.0,214.2,171.9,96.5,113.1,112.8,25.7,131.3,137.1,91.2
182.3,74.4,164.3,156.1,173.9,92.8,39.4,122.2,78.6,88.9,81.1,114.9,151.1,91.8,131.8,82.7,146.8,165.6,133.5,19.6,65.6,106.9,208.4,171.9,93.2,105.6,109.4,24.1,123.2,126.6,90.3
173.7,73.6,158.5,152.5,170.4,90.4,37.5,115.8,76.4,86.0,76.1,116.1,139.5,88.0,119.6,77.4,139.9,160.0,118.6,19.4,60.4,99.0,202.3,171.9,90.0,98.8,106.2,22.8,115.0,116.3,90.5
164.7,69.4,152.2,148.7,166.9,88.0,35.8,109.5,74.2,83.4,71.0,116.9,129.5,84.3,110.3,72.3,133.4,154.6,105.4,19.2,55.6,91.6,196.0,171.8,87.0,92.5,103.1,21.7,107.1,107.0,91.4
155.2,65.3,145.5,144.3,163.2,85.6,34.2,103.3,72.1,81.1,66.7,116.6,120.9,80.9,103.8,67.8,127.3,149.7,94.0,19.2,51.0,85.1,189.3,171.2,84.2,87.0,100.1,20.8,99.7,99.0,93.6
145.9,64.0,138.8,140.2,159.5,83.1,32.7,97.6,69.6,78.7,62.8,112.8,113.9,77.8,99.1,64.0,119.8,145.2,84.5,19.2,46.8,79.4,182.4,169.3,81.5,81.6,97.2,20.1,93.0,93.3,94.5
136.7,63.5,132.4,136.4,155.6,80.6,31.3,92.2,67.1,75.9,58.5,110.2,108.1,75.1,93.4,60.9,113.5,141.3,76.3,19.3,42.9,74.4,175.2,165.9,79.0,77.1,94.4,19.6,86.9,88.3,93.3
127.7,61.1,126.5,132.5,151.6,78.3,30.0,87.2,64.6,72.9,55.2,100.1,103.4,72.6,88.1,58.4,107.5,138.0,69.6,25.4,39.4,70.1,168.1,161.1,76.7,72.5,91.6,19.1,81.5,83.1,90.2
