Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
190.9,73.9,171.5,157.5,175.0,92.9,44.8,129.8,77.6,92.0,89.8,102.3,178.5,98.2,163.5,90.6,166.0,173.7,177.1,19.1,76.8,122.7,214.7,164.3,95.9,122.9,111.0,26.5,134.3,147.0,87.8
185.3,72.9,167.4,154.9,171.6,90.9,42.1,123.8,75.9,88.2,85.1,104.0,165.7,93.7,150.3,86.0,157.0,168.1,160.0,18.5,71.4,116.2,209.8,164.4,92.6,115.2,107.7,24.7,127.9,138.4,86.0
178.7,71.1,162.8,152.1,168.1,88.6,39.7,117.7,74.1,84.4,80.2,105.3,153.3,89.3,136.3,81.1,148.8,162.4,142.9,18.0,66.0,108.5,204.5,164.5,89.3,107.3,104.5,23.2,120.8,128.1,84.7
171.1,70.6,157.8,148.8,164.6,86.3,37.6,111.4,72.2,81.2,75.2,106.5,141.3,85.4,122.8,75.8,141.2,156.6,127.2,17.7,60.8,100.6,199.1,164.6,86.3,99.9,101.5,21.8,113.3,117.9,83.9
162.8,69.7,152.3,145.1,161.3,83.9,35.7,105.2,70.1,78.3,70.4,107.5,130.4,81.6,111.1,70.8,134.2,151.0,112.7,17.4,55.7,92.9,193.5,164.6,83.2,93.2,98.5,20.7,105.6,107.9,84.1
154.2,65.5,146.0,141.2,157.9,81.6,34.1,99.2,68.0,75.8,65.6,108.2,120.8,78.1,102.0,66.0,127.6,145.8,99.9,17.3,50.9,85.7,187.4,164.5,80.4,87.1,95.7,19.7,98.2,99.0,85.0
145.1,61.2,139.6,136.7,154.6,79.2,32.5,93.3,66.0,73.5,61.4,107.8,112.7,74.8,95.7,61.7,121.6,140.8,88.9,17.3,46.6,79.4,181.0,163.9,77.7,81.7,93.1,18.9,91.3,91.5,87.1
136.1,59.5,133.3,132.7,150.8,76.7,31.1,87.8,63.6,71.2,57.7,104.2,106.0,71.7,91.1,58.3,114.2,136.7,79.7,17.3,42.6,73.8,174.1,161.9,75.1,76.5,90.4,18.3,85.1,86.1,88.0
127.3,59.0,127.1,128.8,147.1,74.4,29.6,82.8,61.3,68.6,53.6,101.6,100.5,69.1,85.6,55.4,108.0,133.3,71.7,17.4,38.9,68.9,167.0,158.6,72.7,72.0,87.8,17.8,79.3,81.5,87.0
118.7,56.4,121.3,125.0,143.2,72.2,28.3,78.0,58.9,65.9,50.3,92.0,96.1,66.8,80.6,53.1,102.0,130.1,65.1,23.4,35.6,64.7,160.1,154.0,70.5,67.5,85.2,17.5,74.3,76.5,84.0
110.7,54.1,116.0,121.3,139.2,70.0,27.0,73.6,56.3,63.0,48.5,83.6,92.5,64.8,75.6,51.3,99.2,127.6,59.4,17.4,32.5,61.0,153.0,148.9,68.4,64.0,82.7,17.2,69.3,72.2,79.4
103.1,54.0,111.1,118.0,135.4,67.8,25.9,69.5,53.9,60.0,47.4,80.1,89.5,63.1,69.7,49.7,94.9,125.4,54.4,17.3,29.7,57.7,146.1,144.1,66.3,60.4,80.1,17.0,64.9,70.1,74.2
96.2,49.7,106.7,115.0,131.6,65.7,24.7,65.7,51.6,57.1,46.5,77.7,87.1,62.0,63.8,48.4,90.6,123.5,50.9,17.2,27.1,54.6,139.7,139.1,64.5,57.4,77.4,16.8,60.3,68.3,66.3
90.3,46.8,102.5,112.7,128.0,63.6,23.6,62.2,49.3,54.4,45.5,76.3,84.9,61.1,58.0,47.1,86.2,121.8,48.0,17.0,24.7,51.6,133.6,134.6,62.7,54.6,74.9,16.6,56.2,65.8,60.5
85.2,46.0,98.8,110.3,124.5,61.6,22.7,58.8,47.4,52.0,44.4,75.8,85.2,60.6,53.6,45.8,82.3,120.4,45.8,16.8,22.5,48.8,131.7,130.2,60.9,51.9,72.4,16.4,53.1,63.5,57.1
