Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
214.2,81.4,184.1,172.5,192.8,106.0,48.5,152.0,90.9,107.6,101.9,118.2,199.8,111.3,182.8,105.7,177.8,191.0,192.5,23.1,87.0,136.0,235.2,178.9,110.6,134.7,128.1,32.1,156.7,165.2,100.7
207.8,79.9,180.1,169.7,189.3,103.7,45.9,145.6,89.0,103.5,96.9,120.1,186.2,106.5,169.4,100.6,168.4,185.4,174.2,22.5,81.4,129.1,229.3,179.0,107.0,126.5,124.4,29.9,149.4,156.3,98.7
200.7,78.4,175.8,166.5,185.9,101.3,43.4,139.0,86.9,99.6,91.8,121.6,172.9,102.1,154.8,95.1,159.9,179.5,156.1,21.9,75.7,121.2,223.4,178.9,103.4,118.6,120.6,28.0,141.2,145.7,97.3
192.7,78.0,170.6,163.1,182.6,98.9,41.2,132.5,84.8,96.2,86.5,122.9,160.2,98.0,140.3,89.3,152.2,174.0,139.4,21.5,70.2,112.9,217.2,178.8,99.8,111.0,117.0,26.3,132.6,134.9,96.3
183.9,77.3,164.5,159.5,179.0,96.6,39.2,125.8,82.5,93.4,81.4,124.2,148.3,94.0,127.7,83.6,145.3,168.4,124.2,21.2,64.9,104.7,210.7,178.9,96.5,104.0,113.4,24.9,123.9,124.2,96.6
174.6,73.1,158.0,155.8,175.3,94.0,37.4,119.2,80.1,90.7,76.1,125.3,137.7,90.3,118.1,78.2,138.8,163.0,110.6,21.0,59.9,97.1,204.1,178.8,93.3,97.6,110.1,23.6,115.5,114.5,97.5
164.9,69.2,151.0,151.5,171.4,91.5,35.8,112.9,77.8,88.3,71.6,125.0,128.7,86.7,111.5,73.4,132.9,158.1,98.9,21.0,55.1,90.5,197.3,178.2,90.3,92.0,106.8,22.6,107.7,106.1,99.8
155.3,68.1,144.1,147.4,167.6,89.0,34.3,106.8,75.2,85.7,67.7,120.9,121.2,83.6,106.8,69.4,125.3,153.3,89.1,21.1,50.8,84.7,190.3,176.2,87.5,86.6,103.8,21.8,100.6,100.2,100.6
145.9,67.9,137.5,143.6,163.7,86.5,32.9,101.1,72.7,82.9,63.2,118.3,115.2,80.7,100.8,66.1,118.8,149.1,80.8,21.1,46.8,79.6,183.0,172.7,85.0,81.9,100.7,21.2,94.1,94.8,99.4
136.6,65.4,131.4,139.8,159.6,84.0,31.5,95.8,70.1,79.6,59.8,107.8,110.3,78.2,95.3,63.5,112.6,145.5,73.9,27.2,43.0,75.2,175.6,168.0,82.5,77.3,97.7,20.7,88.3,89.3,96.1
128.0,63.1,126.0,136.0,155.4,81.6,30.2,90.8,67.2,76.2,57.9,98.7,106.4,76.1,89.9,61.3,109.6,142.6,67.9,21.2,39.6,71.3,168.6,163.0,80.3,73.5,94.8,20.4,82.8,84.5,91.1
119.6,63.3,121.3,132.6,151.4,79.4,29.0,86.2,64.6,72.7,56.6,94.6,103.3,74.4,83.3,59.5,105.1,140.0,62.5,21.1,36.4,67.7,161.7,158.2,78.2,69.8,92.0,20.2,77.7,82.2,85.5
112.0,58.5,116.9,129.6,147.4,77.1,27.8,81.7,61.9,69.3,55.8,92.2,100.6,73.1,76.8,58.0,100.6,137.9,58.8,20.9,33.3,64.4,155.1,153.0,76.1,66.7,89.2,20.0,72.5,80.0,77.0
105.2,55.4,112.8,127.3,143.6,74.9,26.7,77.6,59.3,66.1,54.5,90.7,98.2,72.1,70.3,56.5,95.9,136.1,55.8,20.7,30.5,61.3,149.0,148.2,74.1,64.0,86.4,19.8,68.0,77.2,71.0
99.6,54.6,109.0,124.6,139.7,72.6,25.6,73.7,57.2,63.2,53.3,89.9,98.2,71.5,65.4,54.9,92.0,134.5,53.4,20.5,27.9,58.4,147.0,143.3,72.1,61.2,83.8,19.5,64.4,74.6,67.3
94.5,52.7,105.4,121.7,135.9,70.4,24.7,70.0,55.3,60.6,51.8,88.9,94.3,71.1,61.9,53.4,87.4,132.9,51.4,20.3,25.5,55.5,148.0,139.0,70.1,59.2,81.2,19.1,61.1,73.4,65.1
90.4,51.3,101.7,118.8,132.2,68.3,23.8,66.5,53.0,58.1,50.4,84.7,92.2,70.9,58.5,51.8,84.0,131.0,49.6,20.1,23.3,52.7,133.1,134.8,68.0,56.7,78.7,18.5,57.6,70.2,62.3
86.7,48.1,98.3,117.1,128.2,66.2,22.9,63.4,51.3,55.8,49.6,82.7,90.2,70.9,55.5,50.3,81.5,128.7,48.2,19.9,21.4,50.2,128.2,130.4,66.0,54.4,76.3,17.7,54.9,68.9,60.5
83.3,47.2,95.0,114.9,124.2,64.2,22.2,60.6,49.5,53.7,48.4,83.8,88.2,71.1,52.6,48.8,79.3,126.3,46.8,19.6,19.9,47.9,123.7,126.3,63.9,52.0,73.9,16.7,52.4,69.0,58.0
80.1,46.2,92.2,112.0,120.4,62.3,21.4,58.1,47.6,51.9,47.4,84.7,85.8,71.3,50.1,47.2,76.7,123.1,45.4,22.0,18.6,45.8,119.3,122.6,62.0,50.1,71.6,15.6,50.1,67.2,56.8
77.3,44.9,89.2,109.1,116.6,60.2,20.7,55.8,45.2,50.0,46.9,83.1,83.5,71.6,47.7,45.8,74.5,120.1,43.9,18.7,17.6,44.0,115.1,118.7,60.1,48.2,69.3,14.4,48.0,64.2,55.8
74.8,43.5,86.1,106.1,112.9,58.3,19.9,53.7,44.0,48.2,45.7,80.4,81.2,71.4,46.0,44.4,72.5,116.8,42.5,18.2,16.7,42.3,111.2,115.2,58.1,45.9,67.2,13.3,46.2,61.8,53.4
72.4,42.3,83.3,103.4,109.3,56.6,19.3,51.7,42.8,46.7,44.9,78.6,79.0,70.9,44.4,43.0,70.6,113.2,41.3,17.7,15.9,40.8,107.5,112.1,56.3,44.2,65.1,12.4,44.7,60.2,51.9
