Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
16394062.0,1726985.0,11882888.0,3759170.0,8259137.0,742033.0,71371371.0,67031867.0,1272935.0,19665502.0,30851606.0,1998630.0,2895224.0,16216431.0,11229387.0,2695003.0,17768505.0,122851984.0,8109989.0,184008.0,143714.0,9704287.0,4584067.0,8721465.0,26298773.0,34463704.0,5008035.0,9893316.0,24020697.0,9891136.0,11834676.0
16941587.0,1761930.0,12249764.0,3844773.0,8538804.0,765490.0,72854261.0,69018932.0,1306590.0,20195577.0,31800343.0,1999473.0,2981648.0,16709665.0,11498818.0,2761823.0,18220716.0,126152678.0,8223941.0,185530.0,146258.0,9938027.0,4857096.0,9070747.0,26947253.0,35414469.0,5145426.0,9995123.0,24763325.0,10191964.0,11910978.0
17516139.0,1795130.0,12632269.0,3930648.0,8838369.0,789129.0,74393759.0,71073215.0,1341696.0,20758326.0,32779823.0,1997534.0,3060599.0,17211934.0,11784498.0,2821703.0,18694946.0,129583026.0,8372306.0,186630.0,149841.0,10180950.0,5140113.0,9411103.0,27570318.0,36353531.0,5281538.0,10094561.0,25545090.0,10508294.0,11984644.0
18124342.0,1826863.0,13030591.0,4026841.0,9196366.0,806411.0,75963322.0,73168838.0,1378398.0,21329514.0,33767122.0,1993030.0,3085173.0,17724310.0,12087965.0,2883326.0,19186754.0,133119801.0,8567992.0,187440.0,153762.0,10434504.0,5350907.0,9758281.0,28188977.0,37333918.0,5421001.0,10193798.0,26354736.0,10837973.0,12075828.0
18771125.0,1859085.0,13445977.0,4115138.0,9613503.0,818373.0,77522427.0,75301026.0,1417110.0,21906444.0,34791836.0,1985384.0,3122447.0,18250774.0,12411342.0,2946575.0,19694411.0,136756848.0,8791853.0,188073.0,157697.0,10698691.0,5533329.0,10117354.0,28831550.0,38360879.0,5565218.0,10292225.0,27146084.0,11188040.0,12160881.0
19450959.0,1892807.0,13876127.0,4208834.0,10005012.0,830861.0,79075310.0,77469940.0,1458353.0,22496951.0,35843010.0,1977424.0,3266318.0,18792171.0,12755648.0,3012360.0,20211114.0,140490722.0,9026299.0,188626.0,161680.0,10974057.0,5683334.0,10467292.0,29540577.0,39439505.0,5711597.0,10388344.0,27946588.0,11564870.0,12224753.0
20162340.0,1928704.0,14316242.0,4294352.0,10365614.0,846947.0,80629670.0,79691050.0,1502534.0,23098586.0,36925253.0,1976780.0,3455397.0,19350299.0,13118307.0,3081229.0,20735982.0,144329764.0,9270066.0,189379.0,165725.0,11263387.0,5809774.0,10784973.0,30332968.0,40562052.0,5874240.0,10483558.0,28773227.0,11971567.0,12330490.0
20909684.0,1966977.0,14757074.0,4375569.0,10722731.0,865196.0,82218755.0,81996185.0,1549774.0,23708320.0,38036793.0,1983465.0,3632740.0,19924958.0,13495463.0,3153508.0,21280513.0,148294028.0,9523168.0,190478.0,169845.0,11563869.0,5939163.0,11118092.0,31191163.0,41716497.0,6047537.0,10580395.0,29629804.0,12402073.0,12450568.0
21691522.0,2007320.0,15197915.0,4467233.0,11098664.0,882886.0,83844783.0,84357105.0,1599978.0,24326087.0,39186895.0,1995014.0,3783887.0,20513599.0,13889423.0,3233336.0,21845571.0,152382506.0,9781996.0,191787.0,174004.0,11872929.0,6090860.0,11444870.0,32065241.0,42870884.0,6222482.0,10680380.0,30509862.0,12852966.0,12550347.0
22507674.0,2048997.0,15650022.0,4564540.0,11496128.0,901103.0,85501064.0,86755585.0,1653542.0,24950762.0,40364444.0,2009169.0,3905066.0,21117092.0,14298932.0,3322616.0,22436660.0,156595758.0,10043737.0,193176.0,178128.0,12195029.0,6259842.0,11730037.0,32948155.0,43957933.0,6398624.0,10784504.0,31412520.0,13318087.0,12679810.0
