Angola,Botswana,Burkina Faso,Central African Republic,Chad,Djibouti,"Egypt, Arab Rep.",Ethiopia,Gabon,Ghana,Kenya,Lesotho,Liberia,Madagascar,Malawi,Mauritania,Mozambique,Nigeria,Rwanda,Samoa,Sao Tome and Principe,Senegal,Sierra Leone,Somalia,Sudan,Tanzania,Togo,Tunisia,Uganda,Zambia,Zimbabwe
8211294.0,919084.0,2120383.0,1414914.0,1787029.0,567893.0,30544806.0,9880497.0,1004078.0,8638858.0,6137001.0,390692.0,1283482.0,4398058.0,1640613.0,1026554.0,5170280.0,42801631.0,1210497.0,40439.0,76778.0,3912769.0,1633120.0,2899625.0,8545786.0,7688508.0,1647994.0,6275528.0,3551700.0,3442313.0,3995150.0
8686629.0,952535.0,2271106.0,1450248.0,1850359.0,586197.0,31212951.0,10302456.0,1040477.0,9007429.0,6436071.0,401234.0,1331992.0,4576944.0,1690096.0,1066506.0,5334479.0,44997399.0,1301768.0,40943.0,79531.0,4021323.0,1742095.0,3049313.0,8770792.0,8029877.0,1716308.0,6378688.0,3764273.0,3567391.0,4069981.0
9189142.0,979602.0,2432722.0,1485864.0,1918103.0,604662.0,31906739.0,10744849.0,1078294.0,9398332.0,6749693.0,411432.0,1377790.0,4761337.0,1742456.0,1114008.0,5506970.0,47308171.0,1404622.0,40948.0,83244.0,4134178.0,1856043.0,3198834.0,8988199.0,8377308.0,1785635.0,6480910.0,3991676.0,3727817.0,4144889.0
9722803.0,1005304.0,2605597.0,1525528.0,1998830.0,618275.0,32614852.0,11202149.0,1117646.0,9801125.0,7073537.0,421267.0,1399465.0,4951463.0,1798085.0,1163451.0,5686378.0,49728233.0,1448333.0,40671.0,87285.0,4267503.0,1945162.0,3391588.0,9204829.0,8814911.0,1857506.0,6583664.0,4232834.0,3896360.0,4163625.0
10291645.0,1031569.0,2790981.0,1562353.0,2092667.0,627823.0,33319914.0,11674671.0,1158884.0,10214975.0,7414140.0,430610.0,1427146.0,5148726.0,1857233.0,1214843.0,5872479.0,52257527.0,1486527.0,40355.0,91420.0,4419201.0,2024977.0,3594797.0,9429935.0,9292156.0,1932466.0,6684800.0,4481004.0,4075803.0,4170453.0
10892537.0,1058912.0,2988501.0,1602261.0,2181193.0,637777.0,34023734.0,12162781.0,1202441.0,10642858.0,7768972.0,439957.0,1504172.0,5414776.0,1920235.0,1268535.0,6063132.0,54895345.0,1526528.0,40023.0,95658.0,4577718.0,2098230.0,3800778.0,9677493.0,9798745.0,2009625.0,6777044.0,4739741.0,4268709.0,4169863.0
11444951.0,1087789.0,3198105.0,1640142.0,2263228.0,650515.0,34729618.0,12670080.0,1248711.0,11084549.0,8140172.0,451101.0,1603166.0,5693825.0,1986636.0,1324867.0,6258534.0,57649638.0,1568217.0,39734.0,100012.0,4744589.0,2167220.0,4001225.0,9953157.0,10334400.0,2094108.0,6869247.0,5013735.0,4476767.0,4183242.0
12028087.0,1139430.0,3393537.0,1677549.0,2344847.0,664929.0,35418195.0,13214505.0,1297812.0,11538602.0,8527849.0,462227.0,1698015.0,5986055.0,2056034.0,1384075.0,6461615.0,60532139.0,1611415.0,39524.0,104489.0,4918692.0,2238411.0,3825068.0,10251288.0,10896766.0,2184128.0,6962852.0,5303439.0,4698029.0,4201195.0
12642253.0,1193231.0,3576677.0,1720153.0,2430718.0,678931.0,36101887.0,13927358.0,1349725.0,12005167.0,8934612.0,474734.0,1781757.0,6291521.0,2128693.0,1448147.0,6735426.0,63546553.0,1655603.0,39362.0,109066.0,5099067.0,2319217.0,4121412.0,10555557.0,11479108.0,2276619.0,7058984.0,5608933.0,4931812.0,4211896.0
13287180.0,1248597.0,3768369.0,1766203.0,2521561.0,693345.0,36798803.0,14670369.0,1404767.0,12483116.0,9357689.0,488087.0,1852759.0,6609861.0,2206182.0,1517970.0,7028957.0,66691001.0,1700405.0,39215.0,113687.0,5287643.0,2407911.0,4415772.0,10870585.0,12061617.0,2371202.0,7158322.0,5930056.0,5175542.0,4232267.0
13967811.0,1305449.0,3970062.0,1812952.0,2615056.0,707774.0,37535116.0,15455093.0,1463559.0,12969707.0,9786183.0,501601.0,1922062.0,6940464.0,2287832.0,1593058.0,7344366.0,69982300.0,1745731.0,39086.0,118302.0,5484810.0,2501043.0,4727676.0,11164206.0,12682374.0,2466614.0,7262322.0,6268797.0,5427875.0,4262290.0
14683555.0,1362903.0,4183204.0,1851877.0,2716552.0,721944.0,38356023.0,16283910.0,1525981.0,13468281.0,10219218.0,515736.0,2015022.0,7281030.0,2373696.0,1673772.0,7683170.0,73409645.0,1791521.0,38989.0,122908.0,5689594.0,2595229.0,5008903.0,11429725.0,13366889.0,2566655.0,7384954.0,6625186.0,5685070.0,4300463.0
15432363.0,1408979.0,4409695.0,1880110.0,2824191.0,736126.0,39184092.0,17152352.0,1591211.0,13986163.0,10658602.0,528145.0,2104489.0,7630993.0,2463707.0,1759879.0,8043201.0,76952556.0,1836678.0,38880.0,127553.0,5901794.0,2691132.0,5169951.0,11724384.0,14093565.0,2669941.0,7511197.0,6999978.0,5950059.0,4355539.0
16211664.0,1453914.0,4646488.0,1904787.0,2940466.0,750407.0,40052578.0,18033421.0,1657904.0,14519202.0,11105820.0,541319.0,2168719.0,7991167.0,2558516.0,1845503.0,8423977.0,80580193.0,1881346.0,38758.0,132158.0,6120588.0,2788451.0,5413081.0,12059405.0,14872630.0,2775764.0,7627127.0,7392635.0,6225773.0,4426387.0
17017877.0,1500166.0,4893865.0,1917526.0,3064321.0,764703.0,40950796.0,18949891.0,1723968.0,15062212.0,11559254.0,555281.0,2232447.0,8362745.0,2658225.0,1929389.0,8821392.0,84275849.0,1928885.0,38634.0,136694.0,6347549.0,2887123.0,5680248.0,12466023.0,15703729.0,2884669.0,7745627.0,7813809.0,6512613.0,4503674.0
17845914.0,1548038.0,5153071.0,1941083.0,3183683.0,779016.0,41811127.0,19908240.0,1787489.0,15615136.0,12021155.0,570052.0,2297862.0,8745781.0,2763250.0,2016084.0,9234077.0,88019904.0,1979769.0,38503.0,141137.0,6584032.0,2986549.0,5952201.0,12937739.0,16612464.0,2996765.0,7865762.0,8267505.0,6809146.0,4584076.0
18702478.0,1598067.0,5422969.0,1991979.0,3309161.0,793314.0,42639712.0,20917553.0,1847523.0,16180685.0,12502904.0,585642.0,2365002.0,9143976.0,2872972.0,2105443.0,9673277.0,91848722.0,2034934.0,38398.0,145477.0,6829288.0,3089590.0,6262554.0,13435884.0,17589735.0,3112655.0,7986686.0,8766415.0,7115902.0,4667645.0
19586972.0,1650064.0,5701421.0,2047664.0,3448331.0,807720.0,43469157.0,21975004.0,1904278.0,16745249.0,13001604.0,601912.0,2431748.0,9557640.0,2988658.0,2197486.0,10129295.0,95817238.0,2094446.0,38312.0,149719.0,7084752.0,3196631.0,6598376.0,13981657.0,18597942.0,3232367.0,8107611.0,9307879.0,7434012.0,4755312.0
20488542.0,1702405.0,5986896.0,2107405.0,3598175.0,822257.0,44301456.0,23073805.0,1959001.0,17306081.0,13502378.0,618808.0,2500972.0,9984497.0,3110968.0,2292177.0,10589065.0,99876265.0,2156849.0,38256.0,153865.0,7350111.0,3306062.0,6930523.0,14549314.0,19620628.0,3355626.0,8227235.0,9869870.0,7762359.0,4848158.0
21410634.0,1754091.0,6281301.0,2175935.0,3754173.0,836802.0,45130858.0,24222096.0,2012698.0,17875345.0,14015215.0,636217.0,2573157.0,10424320.0,3240276.0,2389505.0,11062722.0,104004479.0,2222128.0,38262.0,157941.0,7624852.0,3418614.0,7280121.0,15103564.0,20656040.0,3482542.0,8344632.0,10462825.0,8100644.0,4945719.0
22338586.0,1804813.0,6587430.0,2254648.0,3914834.0,850998.0,45976808.0,25424568.0,2065425.0,18455138.0,14553419.0,654320.0,2650072.0,10876290.0,3376840.0,2488943.0,11559020.0,108242753.0,2291674.0,38449.0,162568.0,7909390.0,3534267.0,7630345.0,15666605.0,21736651.0,3613424.0,8460667.0,11080727.0,8447250.0,5052214.0
23276246.0,1852275.0,6904253.0,2327367.0,4085514.0,864734.0,46831955.0,26671558.0,2116964.0,19038233.0,15102890.0,672573.0,2730335.0,11336960.0,3519490.0,2590523.0,12069961.0,112560662.0,2364984.0,38813.0,167493.0,8202086.0,3652200.0,7974917.0,16250768.0,22862550.0,3748225.0,8570328.0,11717016.0,8800295.0,5166388.0
24229338.0,1899705.0,7227715.0,2405727.0,4264761.0,878521.0,47689118.0,27959125.0,2167652.0,19621881.0,15669052.0,690433.0,2813868.0,11809744.0,3668876.0,2695952.0,12590070.0,116965442.0,2441369.0,39175.0,172252.0,8499952.0,3771972.0,8327846.0,16854089.0,24025884.0,3886437.0,8675724.0,12360019.0,9160288.0,5287038.0
25197645.0,1949449.0,7561383.0,2504453.0,4453756.0,892708.0,48580854.0,29299871.0,2217982.0,20213181.0,16265693.0,708766.0,2902462.0,12298904.0,3826324.0,2805896.0,13136242.0,121487868.0,2521821.0,39512.0,177140.0,8806799.0,3894454.0,8694307.0,17483775.0,25227921.0,4028035.0,8788529.0,13005977.0,9530988.0,5419091.0
