2000 Total Population (millions),2023 Total Population (millions)
16.394062,36.684202
1.726985,2.675352
11.882888,23.251485
3.75917,5.742315
8.259137,18.278568
0.742033,1.136455
71.371371,112.716598
67.031867,126.52706
1.272935,2.436566
19.665502,34.121985
30.851606,55.100586
1.99863,2.330318
2.895224,5.418377
16.216431,30.325732
11.229387,20.931751
2.695003,4.862989
17.768505,33.897354
122.851984,223.804632
8.109989,14.094683
0.184008,0.225681
0.143714,0.231856
9.704287,17.763163
4.584067,8.791092
8.721465,18.143378
26.298773,48.109006
34.463704,67.438106
5.008035,9.053799
9.893316,12.458223
24.020697,48.582334
9.891136,20.569737
11.834676,16.665409
