country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,1264019978.46365,1242169993.3558717,1759030003.6370764,2051469971.3587751,4767359934.419397,1555179979.2200327,557560005.664826,799829997.4761899,1239279997.1252675,819850011.0208995,837949998.0732801,688350009.9964434,820789992.7906692,934020014.9454172,787029991.749674,1419110009.364785,657869996.3279072,683940004.9597019,542379999.2762506,224260000.1208484,397270005.52415913,885020006.541162,377160009.37297934
Botswana,134089999.48948622,122530000.269413,166619998.51465213,118789998.49781397,179369999.64341524,205050000.97677115,275609999.5933473,423129999.5742738,2944200020.22758,1134090000.6256983,613180006.6083677,459670002.23323697,280279998.3248115,434280006.09576625,403990007.1136654,265259999.319911,353939995.16963935,387769995.812327,317190001.64046896,258510007.82102358,304850002.6799738,349159999.4301796,305799994.80769044
Burkina Faso,1048580002.0284952,1555169982.038438,1751830016.9594588,1984150010.6342134,2293860015.623272,2428970016.2410727,3001129916.161295,2828970007.9858303,2893749989.435077,2990149981.502444,3356389992.8629484,3144079971.6934557,3706519954.8602095,3569449924.442916,3792109974.0043254,3231290022.50359,3247479988.2993145,3062310028.9888725,3726470131.36372,3701530017.621818,5430370013.594629,5010880108.416082,4415510056.577623
Central African Republic,302819999.1434813,323449998.2744457,240329996.04940417,194629998.43806028,424520001.52692187,341390007.2574617,450390004.21017444,666540002.4205456,841919991.8881058,743290002.6589634,932780008.0701716,874809970.4757335,722650000.918657,709249998.3906754,2119940028.0993443,1845739983.8902059,1852779993.504285,1771640045.4267855,2113719980.6123977,2261949969.008565,2662289985.6828165,2138980029.720814,2166040022.4290805
Chad,489799993.99557763,731339988.6079146,816370007.9545374,868909992.236644,1181889991.104603,1358249983.0462036,1057629996.6499205,1324749976.2848027,1808880016.736687,2108780015.7740726,1810910014.446824,1643600005.77569,1710259989.596904,1660269966.8966243,1390700005.8256087,2094439965.218307,1988760026.4512,2094560009.2150266,2768429999.4185567,2079939981.3599887,3021770035.9970303,2273560004.8229103,2245049971.8226485
Djibouti,267580000.84012747,226460001.29356977,265239996.27307007,272990000.25913113,231960005.65215945,276049997.575581,431630003.7764012,373180001.5866766,421289997.86451465,529049997.2999106,477179992.0201299,480499998.8079076,502320002.74583685,513589994.151145,559949989.274144,563610008.4371862,560650003.2283365,475740002.475679,567269996.6877702,839970029.6372175,748149993.6431656,489580003.14980686,301839997.9285895
"Egypt, Arab Rep.",5949459960.84065,5694220095.466829,5635239938.784391,4106150033.0753603,6167179849.3228855,4080680048.9686413,3549220025.7778187,4551499973.900627,5954059954.728933,3595850056.145342,2237969979.051503,1438819984.7247462,5621119986.534119,11541549933.329226,7727810210.607952,5991479904.82674,6346279975.295068,503169992.8715817,5898499850.949278,5621300058.748572,5181470055.382702,21235700488.42953,13496160318.633541
Ethiopia,2687640014.2014008,3818769983.5300517,4590959982.961422,6242520073.294648,6440020078.320065,7051800087.202347,6885890044.6072235,7867030146.1108,10329129929.045218,9895929948.311302,11443239986.840649,11368339872.475721,10711990062.523645,11987210158.662876,11627149958.014496,10893799828.646708,13511430061.552671,13592820003.684612,14923609976.58782,14514939845.748245,16061750224.450602,13475479804.243885,15778120349.835617
Gabon,48890000.14215708,34380000.60245393,322250008.1397588,-53459998.23883175,155209998.14942476,197990000.80302367,135889997.19917774,194380002.14844945,229529999.937862,279139997.14702374,403499997.4779786,259599992.7707016,271309998.6873567,336609996.4194001,431169990.6177812,395650004.41670454,155879999.56309792,432169999.60318184,456330003.60429376,489589996.5018035,201509996.09380943,370800008.4757805,524469992.76429445
Ghana,2266500036.0310073,2494699926.6482897,2645899954.948576,3425879992.6266127,5106279969.979082,3919869996.927682,3988149946.8274403,3492529978.2902007,3784469919.782128,4740280059.985823,5524940024.3871,5605329923.707991,5516770072.197543,4215620083.4624434,3576670019.075274,5346109944.43298,4188250064.52948,3923370075.8777523,3620690018.568196,3011949982.5835233,5888750040.840362,4109439939.4132285,3148980061.8514423
